"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\dassh\Documents\NEA\RoboRally\Controller\cardController.py", "Python", -38, -4, -10, -52
"c:\Users\dassh\Documents\NEA\RoboRally\Controller\playGameController.py", "Python", 45, 5, 16, 66
"c:\Users\dassh\Documents\NEA\RoboRally\Model\cardModel.py", "Python", -6, 0, -1, -7
"c:\Users\dassh\Documents\NEA\RoboRally\Model\registerModel.py", "Python", -5, 0, -1, -6
"c:\Users\dassh\Documents\NEA\RoboRally\View\cardView.py", "Python", -14, 0, -5, -19
"c:\Users\dassh\Documents\NEA\RoboRally\View\registerView.py", "Python", -10, 0, -3, -13
"c:\Users\dassh\Documents\NEA\RoboRally\cardsAndRegisters\model.py", "Python", 7, 0, 4, 11
"c:\Users\dassh\Documents\NEA\RoboRally\cardsAndRegisters\view.py", "Python", 27, 0, 6, 33
"Total", "-", 6, 1, 6, 13
