"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\dassh\Documents\NEA\RoboRally\Controller\playGameController.py", "Python", 43, 14, 14, 71
"c:\Users\dassh\Documents\NEA\RoboRally\cardsAndRegisters\view.py", "Python", 2, 0, 0, 2
"Total", "-", 45, 14, 14, 73
